Time,x,u,y,__zc_z1,__zc_z2
0,1,0,1,-0.5,0
0.02,1.02,0.0199987,1,-0.480001,0
0.04,1.04,0.0399893,1,-0.460011,0
0.06,1.06,0.059964,1,-0.440036,0
0.08,1.08,0.0799147,1,-0.420085,0
0.1,1.1,0.0998334,1,-0.400167,0
0.12,1.12,0.119712,1,-0.380288,0
0.14,1.14,0.139543,1,-0.360457,0
0.16,1.16,0.159318,1,-0.340682,0
0.18,1.18,0.17903,1,-0.32097,0
0.2,1.2,0.198669,1,-0.301331,0
0.22,1.22,0.21823,1,-0.28177,0
0.24,1.24,0.237703,1,-0.262297,0
0.26,1.26,0.257081,1,-0.242919,0
0.28,1.28,0.276356,1,-0.223644,0
0.3,1.3,0.29552,1,-0.20448,0
0.32,1.32,0.314567,1,-0.185433,0
0.34,1.34,0.333487,1,-0.166513,0
0.36,1.36,0.352274,1,-0.147726,0
0.38,1.38,0.37092,1,-0.12908,0
0.4,1.4,0.389418,1,-0.110582,0
0.42,1.42,0.40776,1,-0.0922395,0
0.44,1.44,0.425939,1,-0.0740605,0
0.46,1.46,0.443948,1,-0.0560519,0
0.48,1.48,0.461779,1,-0.0382208,0
0.5,1.5,0.479426,1,-0.0205745,0
0.52,1.52,0.49688,1,-0.00311986,0
0.523599,1.5236,0.5,1,1e-10,0
0.523599,1.5236,0.5,1,0,1
0.54,1.54,0.514136,1,0,1.01414
0.56,1.56,0.531186,1,0,1.03119
0.58,1.58,0.548024,1,0,1.04802
0.6,1.6,0.564642,1,0,1.06464
0.62,1.62,0.581035,1,0,1.08104
0.64,1.64,0.597195,1,0,1.0972
0.66,1.66,0.613117,1,0,1.11312
0.68,1.68,0.628793,1,0,1.12879
0.7,1.7,0.644218,1,0,1.14422
0.72,1.72,0.659385,1,0,1.15938
0.74,1.74,0.674288,1,0,1.17429
0.76,1.76,0.688921,1,0,1.18892
0.78,1.78,0.703279,1,0,1.20328
0.8,1.8,0.717356,1,0,1.21736
0.82,1.82,0.731146,1,0,1.23115
0.84,1.84,0.744643,1,0,1.24464
0.86,1.86,0.757843,1,0,1.25784
0.88,1.88,0.770739,1,0,1.27074
0.9,1.9,0.783327,1,0,1.28333
0.92,1.92,0.795602,1,0,1.2956
0.94,1.94,0.807558,1,0,1.30756
0.96,1.96,0.819192,1,0,1.31919
0.98,1.98,0.830497,1,0,1.3305
1,2,0.841471,1,0,1.34147
1.02,2.02,0.852108,1,0,1.35211
1.04,2.04,0.862404,1,0,1.3624
1.06,2.06,0.872355,1,0,1.37236
1.08,2.08,0.881958,1,0,1.38196
1.1,2.1,0.891207,1,0,1.39121
1.12,2.12,0.9001,1,0,1.4001
1.14,2.14,0.908633,1,0,1.40863
1.16,2.16,0.916803,1,0,1.4168
1.18,2.18,0.924606,1,0,1.42461
1.2,2.2,0.932039,1,0,1.43204
1.22,2.22,0.939099,1,0,1.4391
1.24,2.24,0.945784,1,0,1.44578
1.26,2.26,0.95209,1,0,1.45209
1.28,2.28,0.958016,1,0,1.45802
1.3,2.3,0.963558,1,0,1.46356
1.32,2.32,0.968715,1,0,1.46872
1.34,2.34,0.973485,1,0,1.47348
1.36,2.36,0.977865,1,0,1.47786
1.38,2.38,0.981854,1,0,1.48185
1.4,2.4,0.98545,1,0,1.48545
1.42,2.42,0.988652,1,0,1.48865
1.44,2.44,0.991458,1,0,1.49146
1.46,2.46,0.993868,1,0,1.49387
1.48,2.48,0.995881,1,0,1.49588
1.5,2.5,0.997495,1,0,1.49749
1.52,2.52,0.99871,1,0,1.49871
1.54,2.54,0.999526,1,0,1.49953
1.56,2.56,0.999942,1,0,1.49994
1.58,2.58,0.999958,1,0,1.49996
1.6,2.6,0.999574,1,0,1.49957
1.62,2.62,0.99879,1,0,1.49879
1.64,2.64,0.997606,1,0,1.49761
1.66,2.66,0.996024,1,0,1.49602
1.68,2.68,0.994043,1,0,1.49404
1.7,2.7,0.991665,1,0,1.49166
1.72,2.72,0.98889,1,0,1.48889
1.74,2.74,0.985719,1,0,1.48572
1.76,2.76,0.982154,1,0,1.48215
1.78,2.78,0.978197,1,0,1.4782
1.8,2.8,0.973848,1,0,1.47385
1.82,2.82,0.969109,1,0,1.46911
1.84,2.84,0.963983,1,0,1.46398
1.86,2.86,0.958471,1,0,1.45847
1.88,2.88,0.952576,1,0,1.45258
1.9,2.9,0.9463,1,0,1.4463
1.92,2.92,0.939645,1,0,1.43965
1.94,2.94,0.932615,1,0,1.43262
1.96,2.96,0.925212,1,0,1.42521
1.98,2.98,0.917438,1,0,1.41744
2,3,0.909297,1,0,1.4093
2.02,3.02,0.900793,1,0,1.40079
2.04,3.04,0.891929,1,0,1.39193
2.06,3.06,0.882707,1,0,1.38271
2.08,3.08,0.873133,1,0,1.37313
2.1,3.1,0.863209,1,0,1.36321
2.12,3.12,0.85294,1,0,1.35294
2.14,3.14,0.84233,1,0,1.34233
2.16,3.16,0.831383,1,0,1.33138
2.18,3.18,0.820104,1,0,1.3201
2.2,3.2,0.808496,1,0,1.3085
2.22,3.22,0.796565,1,0,1.29657
2.24,3.24,0.784316,1,0,1.28432
2.26,3.26,0.771753,1,0,1.27175
2.28,3.28,0.758881,1,0,1.25888
2.3,3.3,0.745705,1,0,1.24571
2.32,3.32,0.732231,1,0,1.23223
2.34,3.34,0.718465,1,0,1.21846
2.36,3.36,0.704411,1,0,1.20441
2.38,3.38,0.690075,1,0,1.19008
2.4,3.4,0.675463,1,0,1.17546
2.42,3.42,0.660581,1,0,1.16058
2.44,3.44,0.645435,1,0,1.14543
2.46,3.46,0.630031,1,0,1.13003
2.48,3.48,0.614374,1,0,1.11437
2.5,3.5,0.598472,1,0,1.09847
2.52,3.52,0.582331,1,0,1.08233
2.54,3.54,0.565956,1,0,1.06596
2.56,3.56,0.549355,1,0,1.04936
2.58,3.58,0.532535,1,0,1.03253
2.6,3.6,0.515501,1,0,1.0155
2.62,3.62,0.498262,1,-0,0.998262
2.64,3.64,0.480823,1,-0,0.980823
2.66,3.66,0.463191,1,-0,0.963191
2.68,3.68,0.445375,1,-0,0.945375
2.7,3.7,0.42738,1,-0,0.92738
2.72,3.72,0.409214,1,-0,0.909214
2.74,3.74,0.390885,1,-0,0.890885
2.76,3.76,0.372399,1,-0,0.872399
2.78,3.78,0.353764,1,-0,0.853764
2.8,3.8,0.334988,1,-0,0.834988
2.82,3.82,0.316078,1,-0,0.816078
2.84,3.84,0.297041,1,-0,0.797041
2.86,3.86,0.277886,1,-0,0.777886
2.88,3.88,0.258619,1,-0,0.758619
2.9,3.9,0.239249,1,-0,0.739249
2.92,3.92,0.219784,1,-0,0.719784
2.94,3.94,0.20023,1,-0,0.70023
2.96,3.96,0.180596,1,-0,0.680596
2.98,3.98,0.16089,1,-0,0.66089
3,4,0.14112,1,-0,0.64112
3.02,4.02,0.121293,1,-0,0.621293
3.04,4.04,0.101418,1,-0,0.601418
3.06,4.06,0.0815022,1,-0,0.581502
3.08,4.08,0.0615537,1,-0,0.561554
3.1,4.1,0.0415807,1,-0,0.541581
3.12,4.12,0.021591,1,-0,0.521591
3.14,4.14,0.00159265,1,-0,0.501593
3.16,4.16,-0.0184063,1,-0,0.481594
3.18,4.18,-0.0383979,1,-0,0.461602
3.2,4.2,-0.0583741,1,-0,0.441626
3.22,4.22,-0.078327,1,-0,0.421673
3.24,4.24,-0.0982486,1,-0,0.401751
3.26,4.26,-0.118131,1,-0,0.381869
3.28,4.28,-0.137966,1,-0,0.362034
3.3,4.3,-0.157746,1,-0,0.342254
3.32,4.32,-0.177462,1,-0,0.322538
3.34,4.34,-0.197108,1,-0,0.302892
3.36,4.36,-0.216675,1,-0,0.283325
3.38,4.38,-0.236155,1,-0,0.263845
3.4,4.4,-0.255541,1,-0,0.244459
3.42,4.42,-0.274825,1,-0,0.225175
3.44,4.44,-0.293998,1,-0,0.206002
3.46,4.46,-0.313054,1,-0,0.186946
3.48,4.48,-0.331985,1,-0,0.168015
3.5,4.5,-0.350783,1,-0,0.149217
3.52,4.52,-0.369441,1,-0,0.130559
